Periode,Jumlah Penumpang KAI Jawa,Dummy (Efek Covid)
Januari 2011,16446,0
Februari 2011,14519,0
Maret 2011,16584,0
40634,16031,0
Mei 2011,17018,0
Juni 2011,16806,0
Juli 2011,17632,0
Agustus 2011,14492,0
40787,16353,0
Oktober 2011,16062,0
40848,15765,0
Desember 2011,16333,0
Januari 2012,15801,0
Februari 2012,15126,0
Maret 2012,16701,0
41000,16376,0
Mei 2012,17401,0
Juni 2012,17687,0
Juli 2012,17956,0
Agustus 2012,16675,0
41153,16063,0
Oktober 2012,16828,0
41214,15436,0
Desember 2012,15745,0
Januari 2013,14573,0
Februari 2013,14315,0
Maret 2013,15521,0
41365,15724,0
Mei 2013,15795,0
Juni 2013,16932,0
Juli 2013,19917,0
Agustus 2013,19031,0
41518,19439,0
Oktober 2013,20198,0
41579,19578,0
Desember 2013,20992,0
Januari 2014,20698,0
Februari 2014,19628,0
Maret 2014,22427,0
41730,21502,0
Mei 2014,22547,0
Juni 2014,23415,0
Juli 2014,22125,0
Agustus 2014,22763,0
41883,23219,0
Oktober 2014,24503,0
41944,23986,0
Desember 2014,25791,0
Januari 2015,24254,0
Februari 2015,22394,0
Maret 2015,26841,0
42095,26150,0
Mei 2015,27450,0
Juni 2015,27118,0
Juli 2015,27077,0
Agustus 2015,27351,0
42248,27125,0
Oktober 2015,28280,0
42309,27253,0
Desember 2015,29328,0
Januari 2016,27886,0
Februari 2016,26058,0
Maret 2016,28156,0
42461,28000,0
Mei 2016,30176,0
Juni 2016,28730,0
Juli 2016,28216,0
Agustus 2016,29125,0
42614,29019,0
Oktober 2016,29765,0
42675,29178,0
Desember 2016,31530,0
Januari 2017,30359,0
Februari 2017,26837,0
Maret 2017,31612,0
42826,30934,0
Mei 2017,33157,0
Juni 2017,30181,0
Juli 2017,33669,0
Agustus 2017,33255,0
42979,31921,0
Oktober 2017,34498,0
43040,33798,0
Desember 2017,36140,0
Januari 2018,34107,0
Februari 2018,30721,0
Maret 2018,35272,0
43191,35135,0
Mei 2018,34877,0
Juni 2018,32270,0
Juli 2018,36089,0
Agustus 2018,34560,0
43344,33878,0
Oktober 2018,35602,0
43405,34637,0
Desember 2018,37197,0
Januari 2019,34435,0
Februari 2019,31282,0
Maret 2019,35068,0
43556,35106,0
Mei 2019,34514,0
Juni 2019,34261,0
Juli 2019,38303,0
Agustus 2019,34542,0
43709,34615,0
Oktober 2019,35814,0
43770,35228,0
Desember 2019,36710,0
Januari 2020,33472,0
Februari 2020,31679,0
Maret 2020,22949,1
43922,5813,1
Mei 2020,5476,1
Juni 2020,9272,1
Juli 2020,12205,1
Agustus 2020,12679,1
44075,11295,1
Oktober 2020,11768,1
44136,13523,1
Desember 2020,13262,1
Januari 2021,11631,1
Februari 2021,11223,1
Maret 2021,13995,1
44287,14590,1
Mei 2021,14627,1
Juni 2021,14313,1
Juli 2021,5646,1
Agustus 2021,6479,1
44440,9510,1
Oktober 2021,13139,1
44501,15161,1
Desember 2021,17207,1
Januari 2022,17499,1
Februari 2022,12857,1
Maret 2022,19133,1
44652,19436,1
Mei 2022,23114,1
Juni 2022,23160,1
Juli 2022,25272,1
Agustus 2022,23920,1
44805,25167,1
Oktober 2022,27143,1
44866,26473,1
Desember 2022,29245,1
Januari 2023,28435,0
Februari 2023,25744,0
Maret 2023,29249,0
45017,27731,0
Mei 2023,29886,0
Juni 2023,29579,0
Juli 2023,32372,0
Agustus 2023,30742,0
September 2023,31067,0
