Tahun;Panen;Produksi;Harga
2020;19200;150000;699.67
2019;19100;137000;789.36
2018;14800;96600;865.38
2017;14800;102000;843.25
2016;14500;103000;788.97
2015;13300;91000;774.31
2014;12600;92800;743.10
2013;13000;101000;688.05
2012;12200;95700;692.72
2011;12000;81600;597.51
2010;11400;75500;604.64
2009;13187;100643;560.63
2008;12002;77402;542.70
2007;11898;84853;548.16
2006;10156;67944;559.98
2005;8464;70930;591.67
2004;9909;60739;548.92
2003;10334;69858;534.89
2002;9699;74003;604
2001;10242;55614;598
2000;9496;65143;627
1999;8704;53704;660
1998;8410;61982;756
1997;6833;51112;731
1996;4540;21111;795
1995;4219;33253;599
1994;2092;13619;454
1993;1770;9664;416
1992;1667;10936;399
1991;1366;8278;364
1990;1581;7905;297
1989;1374;9460;272
1988;1362;10038;312
1987;1308;9404;237
1986;1270;10917;229
1985;1169;7250;211
1984;969;6521;250
1983;939;6686;285
1982;501;4559;294
1981;566;4307;362
1980;566;4924;274
